date,demand_units
2017-12-14T00:00:00,1317
2017-12-15T00:00:00,2212
2017-12-16T00:00:00,1056
2017-12-17T00:00:00,809
2017-12-18T00:00:00,1606
2017-12-19T00:00:00,1386
2017-12-20T00:00:00,1640
2017-12-21T00:00:00,1318
2017-12-22T00:00:00,1272
2017-12-23T00:00:00,1184
2017-12-24T00:00:00,1097
2017-12-25T00:00:00,514
2017-12-26T00:00:00,678
2017-12-27T00:00:00,958
2017-12-28T00:00:00,1363
2017-12-29T00:00:00,1806
2017-12-30T00:00:00,901
2017-12-31T00:00:00,1123
2018-01-01T00:00:00,1636
2018-01-02T00:00:00,947
2018-01-03T00:00:00,1246
2018-01-04T00:00:00,930
2018-01-05T00:00:00,1703
2018-01-06T00:00:00,954
2018-01-07T00:00:00,803
2018-01-08T00:00:00,1183
2018-01-09T00:00:00,1056
2018-01-10T00:00:00,1142
2018-01-11T00:00:00,1254
2018-01-12T00:00:00,2223
2018-01-13T00:00:00,1293
2018-01-14T00:00:00,786
2018-01-15T00:00:00,852
2018-01-16T00:00:00,1080
2018-01-17T00:00:00,1565
2018-01-18T00:00:00,1180
2018-01-19T00:00:00,1916
2018-01-20T00:00:00,1214
2018-01-21T00:00:00,668
2018-01-22T00:00:00,942
2018-01-23T00:00:00,988
2018-01-24T00:00:00,1315
2018-01-25T00:00:00,1390
2018-01-26T00:00:00,1922
2018-01-27T00:00:00,1383
2018-01-28T00:00:00,767
2018-01-29T00:00:00,1115
2018-01-30T00:00:00,648
2018-01-31T00:00:00,1126
2018-02-01T00:00:00,1408
2018-02-02T00:00:00,2216
2018-02-03T00:00:00,1419
2018-02-04T00:00:00,940
2018-02-05T00:00:00,1012
2018-02-06T00:00:00,1365
2018-02-07T00:00:00,1190
2018-02-08T00:00:00,1496
2018-02-09T00:00:00,2452
2018-02-10T00:00:00,1093
2018-02-11T00:00:00,724
2018-02-12T00:00:00,1548
2018-02-13T00:00:00,1420
2018-02-14T00:00:00,1930
2018-02-15T00:00:00,1279
2018-02-16T00:00:00,559
2018-02-17T00:00:00,1207
2018-02-18T00:00:00,854
2018-02-19T00:00:00,652
2018-02-20T00:00:00,1110
2018-02-21T00:00:00,1519
2018-02-22T00:00:00,1119
2018-02-23T00:00:00,1831
2018-02-24T00:00:00,840
2018-02-25T00:00:00,992
2018-02-26T00:00:00,773
2018-02-27T00:00:00,1026
2018-02-28T00:00:00,1207
2018-03-01T00:00:00,1174
2018-03-02T00:00:00,1451
2018-03-03T00:00:00,1460
2018-03-04T00:00:00,813
2018-03-05T00:00:00,1073
2018-03-06T00:00:00,883
2018-03-07T00:00:00,1146
2018-03-08T00:00:00,1290
2018-03-09T00:00:00,2091
2018-03-10T00:00:00,1481
2018-03-11T00:00:00,870
2018-03-12T00:00:00,1064
2018-03-13T00:00:00,1447
2018-03-14T00:00:00,1092
2018-03-15T00:00:00,1166
2018-03-16T00:00:00,2229
2018-03-17T00:00:00,1116
2018-03-18T00:00:00,1086
2018-03-19T00:00:00,1222
2018-03-20T00:00:00,983
2018-03-21T00:00:00,1161
2018-03-22T00:00:00,1659
2018-03-23T00:00:00,2146
2018-03-24T00:00:00,1329
2018-03-25T00:00:00,991
2018-03-26T00:00:00,1275
2018-03-27T00:00:00,1363
2018-03-28T00:00:00,1462
2018-03-29T00:00:00,1797
2018-03-30T00:00:00,1100
2018-03-31T00:00:00,1477
2018-04-01T00:00:00,951
2018-04-02T00:00:00,814
2018-04-03T00:00:00,1077
2018-04-04T00:00:00,1251
2018-04-05T00:00:00,1164
2018-04-06T00:00:00,1571
2018-04-07T00:00:00,1076
2018-04-08T00:00:00,762
2018-04-09T00:00:00,1201
2018-04-10T00:00:00,920
2018-04-11T00:00:00,1190
2018-04-12T00:00:00,1302
2018-04-13T00:00:00,1972
2018-04-14T00:00:00,1873
2018-04-15T00:00:00,1002
2018-04-16T00:00:00,1168
2018-04-17T00:00:00,895
2018-04-18T00:00:00,1153
2018-04-19T00:00:00,1553
2018-04-20T00:00:00,2729
2018-04-21T00:00:00,1644
2018-04-22T00:00:00,1092
2018-04-23T00:00:00,1628
2018-04-24T00:00:00,1013
2018-04-25T00:00:00,1481
2018-04-26T00:00:00,1622
2018-04-27T00:00:00,2128
2018-04-28T00:00:00,1844
2018-04-29T00:00:00,1418
2018-04-30T00:00:00,1966
2018-05-01T00:00:00,1422
2018-05-02T00:00:00,1291
2018-05-03T00:00:00,1476
2018-05-04T00:00:00,2158
2018-05-05T00:00:00,1791
2018-05-06T00:00:00,1355
2018-05-07T00:00:00,2778
2018-05-08T00:00:00,1233
2018-05-09T00:00:00,1419
2018-05-10T00:00:00,1738
2018-05-11T00:00:00,1889
2018-05-12T00:00:00,1917
2018-05-13T00:00:00,1323
2018-05-14T00:00:00,1530
2018-05-15T00:00:00,1256
2018-05-16T00:00:00,1487
2018-05-17T00:00:00,1439
2018-05-18T00:00:00,1852
2018-05-19T00:00:00,1800
2018-05-20T00:00:00,1353
2018-05-21T00:00:00,1900
2018-05-22T00:00:00,1293
2018-05-23T00:00:00,1209
2018-05-24T00:00:00,1318
2018-05-25T00:00:00,2146
2018-05-26T00:00:00,1504
2018-05-27T00:00:00,1238
2018-05-28T00:00:00,1569
2018-05-29T00:00:00,1360
2018-05-30T00:00:00,1405
2018-05-31T00:00:00,1621
2018-06-01T00:00:00,2140
2018-06-02T00:00:00,1679
2018-06-03T00:00:00,1486
2018-06-04T00:00:00,1142
2018-06-05T00:00:00,1329
2018-06-06T00:00:00,1261
2018-06-07T00:00:00,1319
2018-06-08T00:00:00,1890
2018-06-09T00:00:00,1834
2018-06-10T00:00:00,1758
2018-06-11T00:00:00,1458
2018-06-12T00:00:00,1174
2018-06-13T00:00:00,1265
2018-06-14T00:00:00,1542
2018-06-15T00:00:00,2186
2018-06-16T00:00:00,1397
2018-06-17T00:00:00,1626
2018-06-18T00:00:00,1130
2018-06-19T00:00:00,1284
2018-06-20T00:00:00,1020
2018-06-21T00:00:00,1170
2018-06-22T00:00:00,1761
2018-06-23T00:00:00,1290
2018-06-24T00:00:00,1301
2018-06-25T00:00:00,1291
2018-06-26T00:00:00,1425
2018-06-27T00:00:00,1330
2018-06-28T00:00:00,1620
2018-06-29T00:00:00,2207
2018-06-30T00:00:00,1246
2018-07-01T00:00:00,1192
2018-07-02T00:00:00,1131
2018-07-03T00:00:00,838
2018-07-04T00:00:00,1462
2018-07-05T00:00:00,1483
2018-07-06T00:00:00,2028
2018-07-07T00:00:00,1202
2018-07-08T00:00:00,1004
2018-07-09T00:00:00,1323
2018-07-10T00:00:00,1190
2018-07-11T00:00:00,1432
2018-07-12T00:00:00,1646
2018-07-13T00:00:00,1865
2018-07-14T00:00:00,1669
2018-07-15T00:00:00,995
2018-07-16T00:00:00,1368
2018-07-17T00:00:00,1037
2018-07-18T00:00:00,1212
2018-07-19T00:00:00,1274
2018-07-20T00:00:00,2216
2018-07-21T00:00:00,1204
2018-07-22T00:00:00,1298
2018-07-23T00:00:00,1302
2018-07-24T00:00:00,1792
2018-07-25T00:00:00,1376
2018-07-26T00:00:00,1527
2018-07-27T00:00:00,1807
2018-07-28T00:00:00,1419
2018-07-29T00:00:00,1226
2018-07-30T00:00:00,1380
2018-07-31T00:00:00,1316
2018-08-01T00:00:00,1255
2018-08-02T00:00:00,1429
2018-08-03T00:00:00,2280
2018-08-04T00:00:00,1384
2018-08-05T00:00:00,1052
2018-08-06T00:00:00,1281
2018-08-07T00:00:00,1237
2018-08-08T00:00:00,1508
2018-08-09T00:00:00,1551
2018-08-10T00:00:00,1913
